name:,photo:,price:,frequency:,resolution:,link:
"Монитор 21,5"" Neo M2253H-TD 1920x1080 16:9 VA 75ГЦ (HDMI+VGA) Black",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2Fmonitor_215_neo_m2253h_td_1920x1080_169_va_75gcz_hdmivga_black_263167_1.jpg&w=640&q=85 ,45 990 ₸,75,1920x1080 (FHD),https://www.technodom.kz/p/monitor-215-neo-m2253h-td-1920x1080-169-va-75gcz-hdmivga-black-263167
Монитор 27'' LG 27MP400 1920x1080 16:9 IPS 75ГЦ (HDMI+VGA),https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2F247421_1.jpg&w=640&q=85 ,82 990 ₸,75,1920x1080 (FHD),https://www.technodom.kz/p/monitor-27-lg-27mp400-hdmi-vga-247421
"Монитор Игровой 24"" Samsung LS24AG300NIXCI1920x1080 16:9 VA 144ГЦ (HDMI+DP) Black",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2F260948_1.jpg&w=640&q=85 ,104 990 ₸,144,1920x1080 (FHD),https://www.technodom.kz/p/monitor-igrovoj-24-samsung-ls24ag300nixci1-black-260948
"Монитор Игровой 27"" Neo M2733P-TD 1920x1080 16:9 IPS 165ГЦ (2HDMI+DP) Black",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2Fmonitor_igrovoj_27_neo_m2733p_td_1920x1080_169_ips_165gc_2hdmidp_black_263170_1q.jpg&w=640&q=85 ,99 990 ₸,165,1920x1080 (FHD),https://www.technodom.kz/p/monitor-igrovoj-27-neo-m2733p-td-1920x1080-169-ips-165gc-2hdmidp-black-263170
"Монитор Игровой 27"" Samsung LS27AG302NIXCI 1920x1080 16:9 VA 144ГЦ (HDMI+DP) Black",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2Fmonitor_igrovoj_27_samsung_ls27ag302nixci_1920x1080_169_va_144gc_hdmidp_black_267761_1.jpg&w=640&q=85 ,126 990 ₸,144,1920x1080 (FHD),https://www.technodom.kz/p/monitor-igrovoj-27-samsung-ls27ag302nixci-1920x1080-169-va-144gc-hdmidp-black-267761
"Монитор 23,8"" Neo M2453H-TD 1920x1080 16:9 IPS 75ГЦ (HDMI+VGA) Black",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2Fmonitor_238_neo_m2453h_td_1920x1080_169_ips_75gcz_hdmivga_black_263168_1.jpg&w=640&q=85 ,64 990 ₸,75,No Resolution,https://www.technodom.kz/p/monitor-238-neo-m2453h-td-1920x1080-169-ips-75gcz-hdmivga-black-263168
"Монитор Игровой 27"" HP 2V6B4E9 1920x1080 16:9 IPS 165ГЦ (HDMI+DP) Black",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2Fmonitor_igrovoj_27_hp_2v6b4e9_1920x1080_169_ips_165gcz_hdmidp_black_266567_1.jpg&w=640&q=85 ,119 990 ₸,165,1920x1080 (FHD),https://www.technodom.kz/p/monitor-igrovoj-27-hp-2v6b4e9-1920x1080-169-ips-165gcz-hdmidp-black-266567
Монитор Игровой 27'' LG 27GN60R-B 1920×1080 16:9 IPS 144ГЦ (HDMI+DP) Black,https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2Fmonitor_igrovoj_27_lg_27gn60r_b_19201080_169_ips_144gc_hdmidp_black_267359_1.jpg&w=640&q=85 ,139 990 ₸,,,https://www.technodom.kz/p/monitor-igrovoj-27-lg-27gn60r-b-19201080-169-ips-144gc-hdmidp-black-267359
"Монитор 23,8"" LG 24MP400 1920x1080 16:9 IPS 75ГЦ (HDMI+VGA)",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2F247420_1.jpg&w=640&q=85 ,71 990 ₸,75,1920x1080 (FHD),https://www.technodom.kz/p/monitor-238-lg-24mp400-1920x1080-169-va-75gc-hdmivga-247420
"Монитор 27"" HP M27fw 2H1A4AA 1920x1080 16:9 IPS 75ГЦ (2HDMI+VGA) White",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2F252272_1.jpg&w=640&q=85 ,99 990 ₸,75,1920x1080 (FHD),https://www.technodom.kz/p/monitor-27-hp-m27fw-2h1a4aa-white-252272
